trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
139,True,"{'a': 0.0, 'e': 0.0}",25,0,31.2762977198037,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
140,True,"{'a': 0.0, 'e': 0.0}",35,18,29.546791288200396,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,True,"{'a': 0.0, 'e': 0.0}",30,23,15.480247507154731,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,True,"{'a': 0.0, 'e': 0.0}",30,19,20.519908208846612,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,True,"{'a': 0.0, 'e': 0.0}",30,24,11.707910691374552,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,True,"{'a': 0.0, 'e': 0.0}",20,5,25.905528137107215,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,True,"{'a': 0.0, 'e': 0.0}",20,5,31.150867443711128,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,True,"{'a': 0.0, 'e': 0.0}",25,16,17.02185394780449,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,True,"{'a': 0.0, 'e': 0.0}",20,0,28.26648297824914,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,True,"{'a': 0.0, 'e': 0.0}",20,11,17.009015784881196,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,True,"{'a': 0.0, 'e': 0.0}",25,8,31.58047783105187,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,True,"{'a': 0.0, 'e': 0.0}",35,20,31.074579967001835,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
